order_id,customer_id,store_id,order_date,product_id,quantity,unit_price,discount,payment_method,payment_amount
O100038,C0011,S004,2026-08-07 03:36:31.386674,P0008,3,616.31,0.05,Cash,1756.48
O100039,C0043,S005,2026-07-21 06:57:31.386674,P0020,5,230.19,0.0,Card,1150.95
O100040,C0048,S005,2026-07-15 18:09:31.386674,P0009,1,2224.22,0.0,Card,2224.22
O100041,C0033,S004,2026-07-19 10:56:31.386674,P0011,2,1248.46,0.05,NetBanking,2372.07
O100042,C0022,S002,2026-07-31 18:01:31.386674,P0009,1,2224.22,0.0,NetBanking,2224.22
O100043,C0001,S001,2026-07-14 08:48:31.386674,P0018,4,3027.48,0.15,Card,10293.43
O100044,C0038,S005,2026-07-15 22:59:31.386674,P0018,1,3027.48,0.05,UPI,2876.11
O100045,C0023,S002,2026-08-01 17:33:31.386674,P0010,3,342.03,0.0,UPI,1026.09
O100046,C0040,S006,2026-07-15 17:46:31.386674,P0012,5,2624.71,0.1,Card,11811.19
O100047,C0012,S006,2026-08-09 20:41:31.386674,P0006,4,3447.16,0.0,NetBanking,13788.64
O100048,C0045,S001,2026-07-23 11:45:31.386674,P0008,3,616.31,0.0,NetBanking,1848.93
O100049,C0023,S003,2026-08-06 17:05:31.386674,P0008,2,616.31,0.1,UPI,1109.36
O100050,C0018,S001,2026-08-04 18:13:31.386674,P0007,4,4481.46,0.05,NetBanking,17029.55
O100051,C0008,S003,2026-07-17 04:07:31.386674,P0018,3,3027.48,0.0,UPI,9082.44
O100052,C0023,S006,2026-08-05 20:18:31.386674,P0004,5,1270.41,0.1,UPI,5716.85
O100053,C0017,S001,2026-08-02 22:51:31.386674,P0013,5,326.37,0.0,Card,1631.85
O100054,C0043,S003,2026-07-30 20:33:31.386674,P0012,4,2624.71,0.0,UPI,10498.84
O100055,C0043,S004,2026-07-21 22:35:31.386674,P0010,5,342.03,0.05,Cash,1624.64
O100056,C0027,S006,2026-07-24 07:38:31.386674,P0018,2,3027.48,0.0,Card,6054.96
O100057,C0026,S005,2026-08-06 10:10:31.386674,P0020,5,230.19,0.05,Cash,1093.4
O100058,C0039,S006,2026-07-22 00:19:31.386674,P0007,4,4481.46,0.15,NetBanking,15236.96
O100059,C0048,S002,2026-08-01 12:09:31.386674,P0007,5,4481.46,0.1,Cash,20166.57
O100060,C0015,S002,2026-07-15 09:53:31.386674,P0003,2,1519.14,0.05,Card,2886.37
O100061,C0030,S004,2026-08-09 06:27:31.386674,P0016,5,2814.72,0.0,Card,14073.6
O100062,C0016,S002,2026-08-01 07:51:31.386674,P0013,4,326.37,0.1,UPI,1174.93
O100063,C0045,S005,2026-07-25 11:26:31.386674,P0014,2,1153.42,0.0,Card,2306.84
O100064,C0030,S006,2026-07-28 03:29:31.386674,P0004,4,1270.41,0.0,Cash,5081.64
O100065,C0028,S005,2026-07-25 15:38:31.386674,P0015,5,3318.45,0.15,NetBanking,14103.41
O100066,C0041,S003,2026-08-05 02:22:31.386674,P0015,3,3318.45,0.0,Card,9955.35
O100067,C0046,S003,2026-07-18 18:12:31.386674,P0009,4,2224.22,0.0,Cash,8896.88
O100068,C0010,S002,2026-07-24 08:00:31.386674,P0018,1,3027.48,0.0,Card,3027.48
O100069,C0022,S005,2026-07-25 22:54:31.386674,P0003,4,1519.14,0.1,Card,5468.9
O100070,C0045,S001,2026-08-08 04:15:31.386674,P0014,4,1153.42,0.15,NetBanking,3921.63
O100071,C0049,S004,2026-08-07 23:25:31.386674,P0001,3,3268.25,0.05,Card,9314.51
O100072,C0028,S004,2026-07-11 22:12:31.386674,P0016,2,2814.72,0.05,NetBanking,5347.97
O100073,C0040,S005,2026-07-11 22:28:31.386674,P0006,4,3447.16,0.0,UPI,13788.64
O100074,C0030,S002,2026-07-12 18:15:31.386674,P0003,4,1519.14,0.0,Cash,6076.56
O100075,C0022,S004,2026-07-19 23:07:31.386674,P0007,4,4481.46,0.05,UPI,17029.55
O100076,C0004,S003,2026-07-19 05:55:31.386674,P0016,1,2814.72,0.15,UPI,2392.51
O100077,C0002,S005,2026-07-15 16:59:31.386674,P0001,2,3268.25,0.0,NetBanking,6536.5
O100078,C0030,S006,2026-07-19 21:01:31.386674,P0004,5,1270.41,0.0,UPI,6352.05
O100079,C0038,S001,2026-08-09 19:27:31.386674,P0006,3,3447.16,0.0,NetBanking,10341.48
O100080,C0038,S006,2026-08-07 06:06:31.386674,P0013,2,326.37,0.0,UPI,652.74
O100081,C0037,S001,2026-07-23 03:18:31.386674,P0010,5,342.03,0.0,Cash,1710.15
O100082,C0001,S004,2026-08-07 00:57:31.386674,P0003,5,1519.14,0.05,NetBanking,7215.91
O100083,C0028,S002,2026-08-04 02:32:31.386674,P0012,4,2624.71,0.0,Cash,10498.84
O100084,C0030,S004,2026-08-07 09:28:31.386674,P0020,5,230.19,0.1,Cash,1035.86
O100085,C0018,S004,2026-07-19 00:27:31.386674,P0011,2,1248.46,0.0,NetBanking,2496.92
O100086,C0021,S002,2026-07-26 16:13:31.386674,P0011,1,1248.46,0.1,Cash,1123.61
O100087,C0045,S003,2026-07-28 10:24:31.386674,P0011,3,1248.46,0.15,Card,3183.57
O100088,C0032,S005,2026-08-04 17:35:31.386674,P0003,2,1519.14,0.1,NetBanking,2734.45
O100089,C0006,S003,2026-07-18 22:35:31.386674,P0016,4,2814.72,0.0,Card,11258.88
O100090,C0031,S005,2026-07-27 21:18:31.386674,P0010,5,342.03,0.05,Cash,1624.64
O100091,C0020,S003,2026-07-18 13:37:31.386674,P0012,4,2624.71,0.05,Card,9973.9
O100092,C0049,S006,2026-07-16 16:04:31.386674,P0011,1,1248.46,0.15,NetBanking,1061.19
O100093,C0039,S003,2026-07-14 16:09:31.386674,P0009,5,2224.22,0.15,Card,9452.93
O100094,C0001,S006,2026-07-28 14:08:31.386674,P0012,2,2624.71,0.05,UPI,4986.95
O100095,C0045,S002,2026-08-01 00:57:31.386674,P0002,5,319.05,0.05,UPI,1515.49
O100096,C0031,S004,2026-07-21 14:54:31.386674,P0019,3,4084.27,0.1,Cash,11027.53
O100097,C0026,S004,2026-07-14 04:31:31.386674,P0016,1,2814.72,0.0,UPI,2814.72
O100098,C0020,S001,2026-07-18 13:26:31.386674,P0005,2,3734.06,0.15,NetBanking,6347.9
O100099,C0015,S005,2026-07-24 00:49:31.386674,P0020,5,230.19,0.15,NetBanking,978.31
O100100,C0020,S005,2026-07-30 11:30:31.386674,P0010,5,342.03,0.1,UPI,1539.13
O100101,C0043,S001,2026-07-16 17:02:31.386674,P0007,2,4481.46,0.05,UPI,8514.77
O100102,C0029,S006,2026-07-31 01:09:31.386674,P0006,1,3447.16,0.1,UPI,3102.44
O100103,C0045,S004,2026-07-14 07:05:31.386674,P0008,3,616.31,0.05,Cash,1756.48
O100104,C0008,S005,2026-07-19 06:00:31.386674,P0019,2,4084.27,0.1,Cash,7351.69
O100105,C0011,S003,2026-07-31 09:43:31.386674,P0005,1,3734.06,0.0,Cash,3734.06
O100106,C0045,S003,2026-08-02 22:08:31.386674,P0015,1,3318.45,0.1,NetBanking,2986.61
O100107,C0003,S004,2026-08-03 20:29:31.386674,P0015,1,3318.45,0.15,Cash,2820.68
O100108,C0044,S005,2026-07-29 10:39:31.386674,P0001,1,3268.25,0.0,Cash,3268.25
O100109,C0031,S005,2026-08-01 00:49:31.386674,P0019,1,4084.27,0.0,Cash,4084.27
O100110,C0041,S004,2026-07-14 01:13:31.386674,P0006,5,3447.16,0.1,NetBanking,15512.22
O100111,C0011,S003,2026-07-25 08:22:31.386674,P0011,3,1248.46,0.0,Cash,3745.38
O100112,C0030,S001,2026-07-21 18:11:31.386674,P0013,5,326.37,0.0,UPI,1631.85
O100113,C0043,S005,2026-07-25 22:54:31.386674,P0013,5,326.37,0.0,Card,1631.85
O100114,C0049,S004,2026-08-01 00:39:31.386674,P0017,3,1257.11,0.15,UPI,3205.63
O100115,C0009,S003,2026-07-26 08:22:31.386674,P0007,3,4481.46,0.15,UPI,11427.72
O100116,C0046,S002,2026-07-21 02:51:31.386674,P0001,5,3268.25,0.0,NetBanking,16341.25
O100117,C0030,S001,2026-07-31 14:22:31.386674,P0003,2,1519.14,0.0,Cash,3038.28
O100118,C0031,S004,2026-07-19 00:26:31.386674,P0017,3,1257.11,0.1,Card,3394.2
O100119,C0033,S006,2026-08-08 14:46:31.386674,P0013,2,326.37,0.15,UPI,554.83
O100120,C0033,S003,2026-08-06 10:09:31.386674,P0009,4,2224.22,0.05,Cash,8452.04
O100121,C0010,S004,2026-07-29 01:13:31.386674,P0019,5,4084.27,0.1,Cash,18379.22
O100122,C0030,S003,2026-08-07 16:35:31.386674,P0018,5,3027.48,0.1,Card,13623.66
O100123,C0050,S004,2026-07-12 20:38:31.386674,P0019,4,4084.27,0.0,NetBanking,16337.08
O100124,C0032,S001,2026-07-16 02:28:31.386674,P0013,4,326.37,0.0,Cash,1305.48
O100125,C0034,S004,2026-07-12 09:00:31.386674,P0004,4,1270.41,0.0,NetBanking,5081.64
O100126,C0017,S003,2026-07-31 08:16:31.386674,P0005,1,3734.06,0.1,UPI,3360.65
O100127,C0021,S006,2026-08-03 01:46:31.386674,P0011,5,1248.46,0.1,UPI,5618.07
O100128,C0041,S006,2026-08-09 19:05:31.386674,P0020,1,230.19,0.0,UPI,230.19
O100129,C0029,S002,2026-08-02 19:48:31.386674,P0014,1,1153.42,0.0,UPI,1153.42
O100130,C0019,S003,2026-07-22 23:00:31.386674,P0002,3,319.05,0.0,Card,957.15
O100131,C0044,S002,2026-07-16 14:56:31.386674,P0017,4,1257.11,0.15,NetBanking,4274.17
O100132,C0038,S002,2026-07-19 00:31:31.386674,P0020,2,230.19,0.1,Cash,414.34
O100133,C0030,S003,2026-08-02 03:01:31.386674,P0015,3,3318.45,0.0,UPI,9955.35
O100134,C0020,S006,2026-07-25 08:07:31.386674,P0015,3,3318.45,0.15,NetBanking,8462.05
O100135,C0031,S001,2026-07-18 22:27:31.386674,P0010,2,342.03,0.1,Cash,615.65
O100136,C0002,S006,2026-07-23 17:51:31.386674,P0019,3,4084.27,0.05,UPI,11640.17
O100137,C0050,S002,2026-07-30 21:05:31.386674,P0020,4,230.19,0.05,Card,874.72
O100138,C0041,S001,2026-08-09 06:32:31.386674,P0020,3,230.19,0.0,UPI,690.57
O100139,C0038,S003,2026-08-03 13:56:31.386674,P0010,4,342.03,0.0,Cash,1368.12
O100140,C0013,S002,2026-08-06 03:47:31.386674,P0011,4,1248.46,0.0,Cash,4993.84
O100141,C0011,S003,2026-08-10 01:42:31.386674,P0017,5,1257.11,0.05,Cash,5971.27
O100142,C0005,S002,2026-08-04 17:46:31.386674,P0011,1,1248.46,0.1,NetBanking,1123.61
O100143,C0026,S001,2026-07-20 02:58:31.386674,P0018,3,3027.48,0.0,NetBanking,9082.44
O100144,C0025,S006,2026-07-22 13:34:31.386674,P0012,3,2624.71,0.15,Card,6693.01
O100145,C0036,S003,2026-08-10 05:05:31.386674,P0016,1,2814.72,0.15,UPI,2392.51
O100146,C0008,S002,2026-07-12 11:10:31.386674,P0015,3,3318.45,0.1,NetBanking,8959.81
O100147,C0035,S002,2026-07-24 00:14:31.386674,P0004,1,1270.41,0.0,NetBanking,1270.41
O100148,C0042,S001,2026-08-07 01:30:31.386674,P0019,2,4084.27,0.1,NetBanking,7351.69
O100149,C0014,S004,2026-07-25 17:45:31.386674,P0009,1,2224.22,0.05,Cash,2113.01
O100150,C0042,S003,2026-07-12 22:08:31.386674,P0004,3,1270.41,0.15,Card,3239.55
O100151,C0043,S002,2026-08-01 06:29:31.386674,P0004,4,1270.41,0.0,UPI,5081.64
O100152,C0009,S005,2026-07-17 12:44:31.386674,P0002,3,319.05,0.0,Card,957.15
O100153,C0022,S002,2026-08-06 04:51:31.386674,P0019,2,4084.27,0.0,Cash,8168.54
O100154,C0017,S002,2026-07-15 07:46:31.386674,P0005,2,3734.06,0.15,UPI,6347.9
O100155,C0016,S005,2026-07-21 10:02:31.386674,P0005,1,3734.06,0.05,Cash,3547.36
O100156,C0034,S001,2026-08-03 12:21:31.386674,P0002,2,319.05,0.1,NetBanking,574.29
O100157,C0007,S004,2026-07-27 17:30:31.386674,P0012,5,2624.71,0.15,UPI,11155.02
O100158,C0042,S001,2026-07-13 01:45:31.386674,P0017,3,1257.11,0.1,NetBanking,3394.2
O100159,C0046,S004,2026-07-13 12:11:31.386674,P0014,1,1153.42,0.1,Card,1038.08
O100160,C0040,S006,2026-07-30 03:36:31.386674,P0003,2,1519.14,0.05,Cash,2886.37
O100161,C0019,S004,2026-07-28 05:18:31.386674,P0013,5,326.37,0.15,UPI,1387.07
O100162,C0028,S004,2026-08-08 17:17:31.386674,P0004,5,1270.41,0.0,Cash,6352.05
O100163,C0047,S001,2026-07-21 23:11:31.386674,P0015,4,3318.45,0.1,Cash,11946.42
O100164,C0005,S001,2026-08-06 11:56:31.386674,P0012,2,2624.71,0.1,NetBanking,4724.48
O100165,C0036,S001,2026-07-30 03:26:31.386674,P0004,3,1270.41,0.0,Cash,3811.23
O100166,C0043,S004,2026-08-08 08:54:31.386674,P0004,4,1270.41,0.05,Cash,4827.56
O100167,C0007,S005,2026-07-27 16:00:31.386674,P0020,3,230.19,0.05,NetBanking,656.04
O100168,C0036,S003,2026-07-14 18:27:31.386674,P0008,1,616.31,0.05,Card,585.49
O100169,C0040,S006,2026-08-01 02:52:31.386674,P0014,5,1153.42,0.15,Cash,4902.03
O100170,C0045,S003,2026-08-09 20:13:31.386674,P0001,2,3268.25,0.05,UPI,6209.67
O100171,C0043,S004,2026-07-13 14:38:31.386674,P0006,2,3447.16,0.15,UPI,5860.17
O100172,C0025,S004,2026-07-25 20:01:31.386674,P0003,5,1519.14,0.0,Cash,7595.7
O100173,C0039,S001,2026-08-08 11:00:31.386674,P0010,3,342.03,0.15,Card,872.18
O100174,C0018,S004,2026-08-01 23:22:31.386674,P0020,1,230.19,0.0,NetBanking,230.19
O100175,C0049,S005,2026-07-14 21:18:31.386674,P0014,3,1153.42,0.0,UPI,3460.26
O100176,C0034,S006,2026-07-20 11:05:31.386674,P0010,5,342.03,0.1,NetBanking,1539.13
O100177,C0014,S003,2026-07-17 14:39:31.386674,P0020,1,230.19,0.0,Cash,230.19
O100178,C0001,S004,2026-08-03 23:02:31.386674,P0010,3,342.03,0.0,Card,1026.09
O100179,C0033,S005,2026-08-07 07:42:31.386674,P0013,5,326.37,0.0,Cash,1631.85
O100180,C0028,S001,2026-07-25 12:46:31.386674,P0003,4,1519.14,0.0,Cash,6076.56
O100181,C0026,S006,2026-07-31 23:09:31.386674,P0019,4,4084.27,0.15,UPI,13886.52
O100182,C0011,S005,2026-07-26 08:49:31.386674,P0013,1,326.37,0.05,Cash,310.05
O100183,C0016,S004,2026-07-29 22:24:31.386674,P0003,4,1519.14,0.0,UPI,6076.56
O100184,C0015,S003,2026-08-04 14:55:31.386674,P0013,3,326.37,0.05,UPI,930.15
O100185,C0050,S003,2026-07-23 09:43:31.386674,P0017,5,1257.11,0.0,Card,6285.55
O100186,C0017,S002,2026-07-17 05:00:31.386674,P0008,1,616.31,0.0,UPI,616.31
O100187,C0049,S005,2026-08-05 04:19:31.386674,P0006,4,3447.16,0.1,Cash,12409.78
O100188,C0005,S004,2026-07-26 06:10:31.386674,P0011,2,1248.46,0.1,Cash,2247.23
O100189,C0033,S001,2026-07-21 00:19:31.386674,P0019,1,4084.27,0.05,UPI,3880.06
O100190,C0005,S006,2026-08-07 12:30:31.386674,P0002,3,319.05,0.05,NetBanking,909.29
O100191,C0048,S001,2026-07-26 04:32:31.386674,P0015,5,3318.45,0.15,Card,14103.41
O100192,C0033,S002,2026-07-12 23:57:31.386674,P0011,5,1248.46,0.1,Cash,5618.07
O100193,C0003,S002,2026-08-03 00:19:31.386674,P0003,5,1519.14,0.0,Card,7595.7
O100194,C0025,S004,2026-08-04 20:34:31.386674,P0012,3,2624.71,0.05,UPI,7480.42
O100195,C0007,S005,2026-08-01 22:09:31.386674,P0011,1,1248.46,0.05,Cash,1186.04
O100196,C0006,S005,2026-08-01 14:49:31.386674,P0020,2,230.19,0.05,Cash,437.36
O100197,C0039,S006,2026-07-13 19:26:31.386674,P0010,4,342.03,0.0,NetBanking,1368.12
O100198,C0006,S006,2026-08-01 23:23:31.386674,P0011,2,1248.46,0.15,Cash,2122.38
O100199,C0012,S002,2026-07-22 01:03:31.386674,P0001,3,3268.25,0.05,Card,9314.51
O100200,C0019,S001,2026-07-28 03:44:31.386674,P0005,2,3734.06,0.0,UPI,7468.12
O100201,C0039,S004,2026-07-15 15:02:31.386674,P0011,5,1248.46,0.0,Card,6242.3
O100202,C0024,S006,2026-08-03 17:19:31.386674,P0015,1,3318.45,0.1,Cash,2986.61
O100203,C0016,S003,2026-08-06 01:48:31.386674,P0015,2,3318.45,0.15,Card,5641.36
O100204,C0030,S003,2026-08-04 22:23:31.386674,P0012,5,2624.71,0.1,NetBanking,11811.19
O100205,C0009,S003,2026-07-13 06:21:31.386674,P0006,2,3447.16,0.15,Cash,5860.17
O100206,C0008,S003,2026-07-13 15:08:31.386674,P0018,1,3027.48,0.15,NetBanking,2573.36
O100207,C0006,S002,2026-08-07 00:47:31.386674,P0017,2,1257.11,0.1,Cash,2262.8
O100208,C0026,S005,2026-07-22 17:15:31.386674,P0001,4,3268.25,0.0,UPI,13073.0
O100209,C0021,S001,2026-08-07 08:32:31.386674,P0012,2,2624.71,0.0,Cash,5249.42
O100210,C0019,S004,2026-08-02 14:39:31.386674,P0005,2,3734.06,0.0,NetBanking,7468.12
O100211,C0006,S001,2026-07-19 16:44:31.386674,P0015,5,3318.45,0.0,Card,16592.25
O100212,C0028,S001,2026-08-04 19:06:31.386674,P0018,5,3027.48,0.15,Cash,12866.79
O100213,C0027,S006,2026-08-06 05:20:31.386674,P0004,1,1270.41,0.0,UPI,1270.41
O100214,C0035,S001,2026-08-01 02:27:31.386674,P0004,4,1270.41,0.15,Card,4319.39
O100215,C0001,S005,2026-07-22 17:27:31.386674,P0005,3,3734.06,0.1,NetBanking,10081.96
O100216,C0024,S001,2026-07-28 03:23:31.386674,P0006,1,3447.16,0.15,UPI,2930.09
O100217,C0041,S004,2026-07-22 18:38:31.386674,P0013,4,326.37,0.0,UPI,1305.48
O100218,C0016,S006,2026-08-02 05:57:31.386674,P0012,1,2624.71,0.05,Cash,2493.47
O100219,C0035,S003,2026-08-07 06:02:31.386674,P0005,1,3734.06,0.05,NetBanking,3547.36
O100220,C0005,S006,2026-08-04 23:53:31.386674,P0016,2,2814.72,0.0,Cash,5629.44
O100221,C0003,S003,2026-08-09 19:23:31.386674,P0007,1,4481.46,0.0,NetBanking,4481.46
O100222,C0003,S006,2026-07-17 19:13:31.386674,P0018,4,3027.48,0.05,UPI,11504.42
O100223,C0024,S004,2026-08-08 22:38:31.386674,P0011,3,1248.46,0.0,NetBanking,3745.38
O100224,C0032,S006,2026-07-26 21:50:31.386674,P0013,3,326.37,0.0,Cash,979.11
O100225,C0028,S005,2026-08-06 15:25:31.386674,P0003,4,1519.14,0.0,Cash,6076.56
O100226,C0021,S006,2026-07-20 19:19:31.386674,P0011,1,1248.46,0.0,NetBanking,1248.46
O100227,C0029,S001,2026-08-03 21:30:31.386674,P0006,4,3447.16,0.05,NetBanking,13099.21
O100228,C0043,S006,2026-07-23 21:23:31.386674,P0009,1,2224.22,0.0,Card,2224.22
O100229,C0044,S004,2026-07-12 13:55:31.386674,P0001,2,3268.25,0.15,Card,5556.02
O100230,C0037,S001,2026-07-30 14:34:31.386674,P0012,3,2624.71,0.1,NetBanking,7086.72
O100231,C0049,S001,2026-07-29 14:24:31.386674,P0012,3,2624.71,0.1,Cash,7086.72
O100232,C0016,S001,2026-07-12 09:02:31.386674,P0013,3,326.37,0.05,NetBanking,930.15
O100233,C0008,S003,2026-08-04 18:36:31.386674,P0017,4,1257.11,0.15,NetBanking,4274.17
O100234,C0045,S004,2026-07-17 12:59:31.386674,P0007,5,4481.46,0.05,UPI,21286.93
O100235,C0006,S006,2026-08-07 20:33:31.386674,P0015,2,3318.45,0.1,Cash,5973.21
O100236,C0019,S003,2026-08-07 15:36:31.386674,P0003,5,1519.14,0.15,Card,6456.35
O100237,C0008,S002,2026-08-05 14:06:31.386674,P0012,5,2624.71,0.0,NetBanking,13123.55
O100238,C0037,S003,2026-07-26 02:59:31.386674,P0001,3,3268.25,0.15,UPI,8334.04
O100239,C0046,S006,2026-07-27 02:17:31.386674,P0003,3,1519.14,0.1,NetBanking,4101.68
O100240,C0021,S006,2026-07-14 00:20:31.386674,P0019,1,4084.27,0.0,Cash,4084.27
O100241,C0012,S002,2026-07-25 02:49:31.386674,P0005,5,3734.06,0.15,UPI,15869.75
O100242,C0020,S002,2026-07-16 20:50:31.386674,P0004,5,1270.41,0.0,Card,6352.05
O100243,C0006,S003,2026-07-18 06:26:31.386674,P0012,5,2624.71,0.05,Cash,12467.37
O100244,C0035,S001,2026-07-28 06:01:31.386674,P0005,3,3734.06,0.15,Card,9521.85
O100245,C0022,S005,2026-07-12 09:56:31.386674,P0006,5,3447.16,0.15,UPI,14650.43
O100246,C0050,S005,2026-07-25 05:31:31.386674,P0019,3,4084.27,0.0,UPI,12252.81
O100247,C0042,S003,2026-07-26 17:42:31.386674,P0016,5,2814.72,0.05,NetBanking,13369.92
O100248,C0045,S001,2026-07-17 00:17:31.386674,P0010,4,342.03,0.0,NetBanking,1368.12
O100249,C0039,S002,2026-07-22 08:11:31.386674,P0015,2,3318.45,0.05,Cash,6305.05
O100250,C0033,S005,2026-07-14 20:06:31.386674,P0013,2,326.37,0.05,NetBanking,620.1
O100251,C0016,S002,2026-07-14 11:09:31.386674,P0004,3,1270.41,0.1,NetBanking,3430.11
O100252,C0011,S003,2026-08-10 04:37:31.386674,P0020,4,230.19,0.0,Cash,920.76
O100253,C0033,S004,2026-07-26 19:22:31.386674,P0007,2,4481.46,0.1,UPI,8066.63
O100254,C0030,S002,2026-07-18 04:13:31.386674,P0003,4,1519.14,0.15,UPI,5165.08
O100255,C0039,S006,2026-08-02 01:09:31.386674,P0002,3,319.05,0.1,UPI,861.44
O100256,C0017,S006,2026-07-22 22:14:31.386674,P0004,4,1270.41,0.0,UPI,5081.64
O100257,C0036,S002,2026-07-23 03:09:31.386674,P0013,1,326.37,0.15,UPI,277.41
O100258,C0049,S005,2026-07-20 05:34:31.386674,P0013,5,326.37,0.1,UPI,1468.66
O100259,C0024,S003,2026-07-28 21:39:31.386674,P0005,1,3734.06,0.1,Card,3360.65
O100260,C0026,S005,2026-07-12 10:53:31.386674,P0007,5,4481.46,0.15,Card,19046.2
O100261,C0030,S002,2026-07-31 01:59:31.386674,P0011,4,1248.46,0.15,Cash,4244.76
O100262,C0026,S005,2026-08-03 19:28:31.386674,P0020,3,230.19,0.0,Cash,690.57
O100263,C0032,S006,2026-07-29 19:21:31.386674,P0017,5,1257.11,0.15,UPI,5342.72
O100264,C0027,S005,2026-07-21 09:46:31.386674,P0012,3,2624.71,0.0,UPI,7874.13
O100265,C0042,S005,2026-07-29 17:37:31.386674,P0020,4,230.19,0.05,UPI,874.72
O100266,C0034,S006,2026-08-04 05:40:31.386674,P0019,4,4084.27,0.0,NetBanking,16337.08
O100267,C0037,S006,2026-07-14 15:52:31.386674,P0005,2,3734.06,0.0,NetBanking,7468.12
O100268,C0027,S006,2026-07-17 23:23:31.386674,P0011,4,1248.46,0.0,NetBanking,4993.84
O100269,C0014,S005,2026-07-22 07:21:31.386674,P0002,2,319.05,0.15,NetBanking,542.38
O100270,C0035,S003,2026-07-28 21:34:31.386674,P0011,2,1248.46,0.1,Cash,2247.23
O100271,C0016,S003,2026-07-28 19:05:31.386674,P0020,4,230.19,0.0,Cash,920.76
O100272,C0021,S004,2026-07-23 03:50:31.386674,P0010,2,342.03,0.1,Cash,615.65
O100273,C0044,S005,2026-07-23 22:43:31.386674,P0010,1,342.03,0.15,Cash,290.73
